time,variety,part,stage,relicate,protein_content,,,
4.13,汉玉122,L3a,V3,3,0.8444 ,,,
4.13,汉玉122,L3b,V3,3,3.8596 ,,,
4.13,汉玉122,L3c,V3,3,3.6317 ,,,
4.13,汉玉122,L4a,V3,3,2.3463 ,,,
4.13,汉玉122,L4b,V3,3,3.8721 ,,,
4.13,汉玉122,R,V3,3,0.0545 ,,,
4.13,郑单958,Sa,V3,1,0.0866 ,,,
4.13,郑单958,L1,V3,1,1.4708 ,,,
4.13,郑单958,Sb,V3,1,0.0920 ,,,
4.13,郑单958,L2a,V3,1,0.7696 ,,,
4.13,郑单958,L2b,V3,1,2.1330 ,,,
4.13,郑单958,Sc,V3,1,0.1283 ,,,
4.13,郑单958,L3a,V3,1,1.3225 ,,,
4.13,郑单958,L3b,V3,1,3.2614 ,,,
4.13,郑单958,L3c,V3,1,3.7408 ,,,
4.13,郑单958,L4a,V3,1,3.2566 ,,,
4.13,郑单958,L4b,V3,1,4.4959 ,,,
4.13,郑单958,R,V3,1,0.1232 ,,,
4.13,郑单958,Sa,V3,2,0.0934 ,,,
4.13,郑单958,L1,V3,2,1.4943 ,,,
4.13,郑单958,Sb,V3,2,0.1062 ,,,
4.13,郑单958,L2a,V3,2,1.2553 ,,,
4.13,郑单958,L2b,V3,2,1.1839 ,,,
4.13,郑单958,Sc,V3,2,0.2526 ,,,
4.13,郑单958,L3a,V3,2,0.9765 ,,,
4.13,郑单958,L3b,V3,2,2.7758 ,,,
4.13,郑单958,L3c,V3,2,4.2542 ,,,
4.13,郑单958,L4a,V3,2,2.2940 ,,,
4.13,郑单958,L4b,V3,2,5.0487 ,,,
4.13,郑单958,R,V3,2,0.1084 ,,,
4.13,郑单958,Sa,V3,3,0.1018 ,,,
4.13,郑单958,L1,V3,3,1.5312 ,,,
4.13,郑单958,Sb,V3,3,0.1046 ,,,
4.13,郑单958,L2a,V3,3,1.5166 ,,,
4.13,郑单958,L2b,V3,3,2.4880 ,,,
4.13,郑单958,Sc,V3,3,0.3040 ,,,
4.13,郑单958,L3a,V3,3,0.7734 ,,,
4.13,郑单958,L3b,V3,3,3.2424 ,,,
4.13,郑单958,L3c,V3,3,3.1096 ,,,
4.13,郑单958,L4a,V3,3,2.2838 ,,,
4.13,郑单958,L4b,V3,3,5.2403 ,,,
4.13,郑单958,R,V3,3,0.1047 ,,,
4.22,汉玉122,Sa,V4,1,0.9575 ,,,
4.22,汉玉122,L1,V4,1,1.5084 ,,,
4.22,汉玉122,Sb,V4,1,0.4635 ,,,
4.22,汉玉122,L2a,V4,1,0.8884 ,,,
4.22,汉玉122,L2b,V4,1,1.1944 ,,,
4.22,汉玉122,L2c,V4,1,1.5250 ,,,
4.22,汉玉122,Sc,V4,1,0.5988 ,,,
4.22,汉玉122,L3a,V4,1,0.8749 ,,,
4.22,汉玉122,L3b,V4,1,1.4061 ,,,
4.22,汉玉122,L3c,V4,1,1.8213 ,,,
4.22,汉玉122,L3d,V4,1,2.3182 ,,,
4.22,汉玉122,Sd,V4,1,1.0055 ,,,
4.22,汉玉122,L4a,V4,1,0.5664 ,,,
4.22,汉玉122,L4b,V4,1,1.7180 ,,,
4.22,汉玉122,L4c,V4,1,3.6748 ,,,
4.22,汉玉122,L4d,V4,1,3.3583 ,,,
4.22,汉玉122,L4e,V4,1,5.8547 ,,,
4.22,汉玉122,L5a,V4,1,1.5319 ,,,
4.22,汉玉122,L5b,V4,1,1.8420 ,,,
4.22,汉玉122,L5c,V4,1,2.8793 ,,,
4.22,汉玉122,L5d,V4,1,4.5458 ,,,
4.22,汉玉122,L5e,V4,1,5.9202 ,,,
4.22,汉玉122,L6,V4,1,2.5404 ,,,
4.22,汉玉122,R,V4,1,0.2596 ,,,
4.22,汉玉122,Sa,V4,2,0.9311 ,,,
4.22,汉玉122,L1,V4,2,1.1780 ,,,
4.22,汉玉122,Sb,V4,2,0.2825 ,,,
4.22,汉玉122,L2a,V4,2,1.1011 ,,,
4.22,汉玉122,L2b,V4,2,1.7218 ,,,
4.22,汉玉122,Sc,V4,2,0.4306 ,,,
4.22,汉玉122,L3a,V4,2,0.7680 ,,,
4.22,汉玉122,L3b,V4,2,1.9336 ,,,
4.22,汉玉122,L3c,V4,2,2.0606 ,,,
4.22,汉玉122,L3d,V4,2,2.7329 ,,,
4.22,汉玉122,Sd,V4,2,0.9251 ,,,
4.22,汉玉122,L4a,V4,2,0.5062 ,,,
4.22,汉玉122,L4b,V4,2,1.7734 ,,,
